Song Name,Artists,Released Dates,Popularity,Duration,Album Type,valence,energy,danceability,acousticness,mood,Spotify URL,Cover Image
Heere Moti,Kadir Thind,2020-04-26,22,224720,single,0.53,0.47,0.42,0.41,Energetic / Party,https://open.spotify.com/search/Heere%20Moti%20Kadir%20Thind,https://i.scdn.co/image/ab67616d0000b2738b04986ab5e8c1b22a68ca38
Love Marriage,Harf Cheema,2019,20,213781,single,0.51,0.39,0.51,0.36,Mellow / Reflective,https://open.spotify.com/search/Love%20Marriage%20Harf%20Cheema,https://i.scdn.co/image/ab67616d0000b27339932d45243fe15554eae45f
Love Story,Ravneet Singh,2018-03-21,18,149665,single,0.58,0.53,0.46,0.31,Happy / Upbeat,https://open.spotify.com/search/Love%20Story%20Ravneet%20Singh,https://i.scdn.co/image/ab67616d0000b273e5012d54337356a603a632c9
Love Marriage,Nav Dolorain,2020-04-27,20,207586,single,0.56,0.37,0.51,0.28,Romantic / Warm,https://open.spotify.com/search/Love%20Marriage%20Nav%20Dolorain,https://i.scdn.co/image/ab67616d0000b2738db7cda9f5fafcbf65a30b52
Love Song,Kamal Khan,2018-11-24,15,176470,single,0.54,0.33,0.53,0.3,Mellow / Reflective,https://open.spotify.com/search/Love%20Song%20Kamal%20Khan,https://i.scdn.co/image/ab67616d0000b273bff23e2ff600e68c53d39722
Valentine's Special,Jass Manak,2020-07-01,24,185418,single,0.56,0.45,0.45,0.35,Romantic / Warm,https://open.spotify.com/search/Valentine%27s%20Special%20Jass%20Manak,https://i.scdn.co/image/ab67616d0000b273ce25d4be9d2c2ddc2694e6e1
"Punjabi Love Mashup, Vol. 02",Venkat's Music,2020-11-18,5,190641,album,0.51,0.59,0.56,0.28,Energetic / Party,https://open.spotify.com/search/Punjabi%20Love%20Mashup%2C%20Vol.%2002%20Venkat%27s%20Music,https://i.scdn.co/image/ab67616d0000b273a4deda6ed91f1c4c290f56e5
Love,Surjit Bhullar,2013-03-13,19,245300,album,0.58,0.49,0.53,0.41,Happy / Upbeat,https://open.spotify.com/search/Love%20Surjit%20Bhullar,https://i.scdn.co/image/ab67616d0000b273efe6e92dcc008d19ac37464b
Gallan Chaandi Diyan,Nimrat Khaira,2021-12-03,20,161290,album,0.54,0.35,0.51,0.4,Mellow / Reflective,https://open.spotify.com/search/Gallan%20Chaandi%20Diyan%20Nimrat%20Khaira,https://i.scdn.co/image/ab67616d0000b273b106a8643f5f1ee6155dc384
In Love,Gursanj,2022-02-14,18,151394,single,0.5,0.33,0.52,0.39,Mellow / Reflective,https://open.spotify.com/search/In%20Love%20Gursanj,https://i.scdn.co/image/ab67616d0000b2733e8ec32368ce4b1c51b33804
